bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_basement,lat,long,sqft_living15,sqft_lot15,house_age,has_renovation
3,2.5,2720,6439,2.0,0,0,3,9,0,47.5422,-121.86,3180,7320,10,0
4,2.0,1980,10051,1.0,0,0,3,7,0,47.3231,-122.103,1520,10125,46,1
2,1.0,700,13500,1.0,0,0,3,4,0,47.3882,-122.208,1600,10124,95,0
3,1.75,1570,15330,1.0,0,0,3,7,490,47.4608,-122.34,1250,13330,59,0
5,1.0,2340,4730,2.0,0,0,3,8,530,47.5895,-122.385,2100,4970,97,0
3,2.75,2500,5568,2.0,0,0,5,9,0,47.6258,-122.312,2810,5568,110,0
3,3.25,1540,1487,2.0,0,0,3,8,0,47.5397,-122.027,1620,1104,4,0
3,1.0,1400,9460,1.0,0,0,3,7,340,47.5119,-122.321,1570,7700,54,0
4,2.5,2050,6360,2.0,0,0,3,8,0,47.5641,-122.011,2070,7541,27,0
4,1.75,2340,17541,1.0,0,0,4,7,980,47.745,-122.229,2250,9212,59,0
3,2.25,1530,12000,1.0,0,0,3,7,460,47.2715,-122.338,2140,13636,36,0
5,3.25,3690,12353,2.0,0,0,5,9,0,47.7672,-122.292,2290,9082,38,0
3,2.75,2000,7200,1.0,0,0,3,7,1000,47.4531,-122.352,1440,7200,61,1
4,1.75,1530,17664,1.5,0,0,3,7,0,47.4549,-122.155,1530,11625,47,0
3,1.75,1690,53578,1.0,0,0,3,8,0,47.6546,-122.049,2290,52707,31,0
3,1.5,1590,21600,1.5,0,0,4,7,0,47.2159,-121.966,1780,21600,44,0
3,2.5,1400,7629,1.0,0,0,3,7,280,47.3788,-122.179,1530,7688,27,0
3,2.5,2060,4200,2.0,0,0,3,8,0,47.3706,-122.017,2370,4200,1,0
3,2.5,2497,4400,2.0,0,0,3,8,0,47.2873,-122.283,2434,4400,8,0
2,1.0,840,863,3.0,0,0,3,8,0,47.6974,-122.349,1110,1190,7,0
3,2.5,2450,3582,2.0,0,0,3,9,0,47.7749,-122.159,2490,5449,7,0
4,2.0,2350,4815,1.5,0,0,4,7,900,47.6681,-122.338,1640,4013,101,0
3,2.25,2720,54450,2.0,0,0,3,11,0,47.5473,-122.092,3170,60548,18,0
3,1.0,1710,6195,1.0,0,0,3,7,300,47.6706,-122.265,1610,6195,69,0
3,2.5,2190,11394,1.0,0,0,3,8,640,47.6685,-122.409,2190,9540,59,0
3,2.5,1320,2614,2.0,0,0,3,7,0,47.5355,-122.283,1320,2533,10,0
3,2.5,2290,5089,2.0,0,0,3,9,0,47.5443,-122.172,2290,7984,14,0
2,1.0,1250,4558,1.0,0,0,3,7,0,47.5318,-122.379,1180,4494,67,0
2,1.0,960,6700,1.0,0,0,3,7,0,47.6955,-122.357,1350,6700,64,0
2,1.0,900,57063,1.0,0,0,4,6,0,47.4735,-121.786,1440,268765,77,0
2,2.5,1570,2399,2.0,0,0,3,7,390,47.5488,-122.364,1590,2306,6,0
4,1.0,1560,7980,1.0,0,0,4,7,390,47.5093,-122.387,1570,7980,76,0
3,2.25,2940,6500,3.0,0,0,3,9,0,47.5482,-122.388,1680,6500,1,0
6,3.0,2530,9000,1.0,0,0,3,6,0,47.6716,-122.199,1886,6000,37,0
3,2.5,1950,9618,2.0,0,0,3,7,0,47.4068,-122.18,1890,7133,23,0
3,3.5,1360,1419,2.0,0,0,3,8,320,47.6697,-122.371,1560,1977,8,0
6,3.75,2930,14980,2.0,0,3,3,9,0,47.5441,-122.117,3210,10787,2,0
4,3.5,3930,43560,2.0,0,0,3,10,0,47.7497,-122.121,2860,36460,12,0
4,2.25,2720,8712,2.0,0,0,4,9,0,47.5616,-122.153,2470,8714,39,0
3,1.5,1890,7650,1.0,0,0,5,7,0,47.3454,-122.314,1510,7560,49,0
3,3.25,3190,5283,2.0,0,0,3,9,0,47.5534,-122.002,2950,5198,8,0
4,1.0,1100,7110,1.0,0,0,4,7,220,47.3858,-122.227,1150,7110,108,0
4,2.5,2650,25248,1.0,0,2,3,9,320,47.7537,-122.373,3020,23135,61,0
2,1.0,930,5368,1.0,0,0,4,7,0,47.6952,-122.275,1770,6000,62,0
3,1.75,1500,8173,1.0,0,0,3,7,0,47.7293,-122.227,1970,8173,18,0
3,1.0,1280,5100,1.0,0,0,3,7,0,47.5259,-122.38,1380,7140,67,0
4,2.5,3710,7491,2.0,0,0,3,9,0,47.5596,-122.016,3040,7491,12,0
4,2.5,3070,8250,1.0,0,0,5,8,970,47.5935,-122.172,2270,8800,57,0
4,2.5,3130,10860,2.0,0,0,3,10,0,47.56,-122.04,3130,10860,25,0
4,1.5,3160,19745,1.5,0,0,4,6,1320,47.3103,-122.006,1540,8611,47,0
3,2.5,2456,7566,2.0,0,0,3,8,0,47.297,-122.351,2478,7212,3,0
3,2.5,1870,3584,2.0,0,0,3,8,0,47.4521,-122.121,1900,3920,12,0
3,1.0,1200,10458,1.0,0,0,4,6,0,47.3262,-122.342,1160,9000,54,0
3,1.5,1230,3060,1.0,0,0,3,7,320,47.667,-122.333,1260,4488,88,0
3,1.75,1790,12000,1.0,0,0,3,7,750,47.3945,-122.313,1840,12000,55,0
3,1.75,1910,17003,1.5,0,0,4,8,0,47.3095,-122.283,1820,14806,52,0
6,4.0,3600,6224,2.0,0,0,3,9,990,47.6531,-122.405,1430,6224,70,1
3,2.0,1540,1827,2.0,0,0,3,8,0,47.5479,-121.999,1560,2058,10,0
4,2.25,1800,2752,2.0,0,0,3,8,0,47.5167,-122.346,1650,2752,1,0
3,2.5,2753,65005,1.0,1,2,5,9,588,47.4041,-122.451,2680,72513,62,0
3,2.5,1720,11656,2.0,0,0,3,8,0,47.6791,-122.113,1890,10336,28,1
4,2.0,1490,13736,1.0,0,0,4,6,0,47.712,-122.281,2040,7200,73,0
3,2.0,2350,12480,1.0,0,0,3,7,750,47.7661,-122.262,2160,12000,34,0
3,1.75,2170,4000,1.0,0,0,4,7,1060,47.6546,-122.337,1890,4000,90,0
3,1.75,2110,10200,2.0,0,0,4,7,0,47.4744,-122.154,1800,10200,49,0
4,2.5,3340,10422,2.0,0,0,3,10,0,47.6515,-122.197,1770,9490,19,0
3,2.25,2270,32112,1.0,0,0,4,8,530,47.3451,-122.094,2310,41606,35,0
3,2.5,3190,7828,2.0,0,0,3,9,0,47.5047,-122.144,2970,7828,9,0
4,2.25,2520,8000,1.0,0,2,3,8,840,47.3202,-122.383,2300,8000,45,0
2,1.0,950,3090,1.0,0,0,4,6,0,47.551,-122.276,1230,4120,106,0
4,2.5,3600,203425,2.0,0,0,3,9,200,47.7597,-122.018,3150,202989,36,0
3,2.25,1950,8892,2.0,0,0,3,8,0,47.7213,-122.11,1900,8750,32,0
3,2.75,1830,3200,2.0,0,0,3,8,0,47.7155,-122.218,2030,3331,24,0
3,1.0,1270,8400,1.0,0,0,3,7,0,47.7604,-122.198,1390,8400,60,0
2,1.75,1180,900,2.0,0,0,3,10,400,47.6395,-122.329,1380,3610,1,0
4,2.75,3210,41689,1.0,0,0,4,8,1600,47.3493,-122.062,2100,41384,26,0
4,1.75,2100,10358,1.0,0,0,5,8,820,47.7478,-122.338,2080,9000,56,0
5,3.25,2480,10277,2.0,0,0,5,8,840,47.7726,-122.286,2270,10277,22,0
4,2.25,2270,5102,1.0,0,0,5,8,930,47.6528,-122.408,1800,5102,61,0
3,1.5,970,8400,1.0,0,0,3,7,0,47.3284,-122.331,1230,8400,49,0
2,1.5,830,1020,2.0,0,0,3,7,0,47.5604,-122.363,830,1379,9,0
5,3.75,4210,14599,2.0,0,3,3,10,0,47.5364,-121.858,3950,13591,11,0
4,2.25,2130,8410,2.0,0,0,4,8,0,47.5589,-122.128,2170,8400,38,0
4,2.0,2040,8281,2.0,0,1,3,7,0,47.6689,-122.195,2560,8281,54,0
3,2.25,2160,7964,2.0,0,0,3,8,0,47.3622,-122.074,2000,7964,24,0
4,1.5,1570,8775,1.0,0,0,3,7,0,47.4789,-122.335,980,8775,72,0
3,1.75,1660,7350,1.0,0,0,2,8,0,47.3118,-122.337,1840,7673,36,0
3,1.0,960,4560,1.0,0,0,4,7,0,47.5539,-122.365,970,4800,47,0
4,2.5,2040,5523,2.0,0,0,3,7,0,47.432,-122.328,1720,6646,16,0
3,2.25,1860,8378,2.0,0,0,3,7,0,47.3875,-122.032,1870,8378,20,0
3,1.0,1050,9083,1.0,0,0,3,7,0,47.7533,-122.307,1440,9071,64,0
3,3.5,2450,9248,2.0,0,4,3,8,490,47.5476,-122.397,2620,10207,82,1
4,2.5,2510,5436,2.0,0,0,3,8,0,47.6894,-122.016,2520,5436,4,0
4,2.5,1980,4745,2.0,0,0,3,7,0,47.3495,-122.04,1980,4878,11,0
4,3.75,4475,20424,2.0,1,4,3,12,1816,47.6646,-122.208,4340,5250,16,0
5,2.5,2590,7084,2.0,0,0,3,8,0,47.7053,-122.113,3010,4823,1,0
3,2.5,2510,3819,2.0,0,0,3,8,0,47.6987,-122.096,2520,3990,8,0
3,2.5,2250,7752,2.0,0,0,4,8,0,47.7489,-122.185,2080,7033,27,0
3,1.0,1390,12823,1.0,0,0,4,7,0,47.7438,-122.075,1390,10095,47,0
5,1.75,1940,6654,1.5,0,0,4,7,0,47.4663,-122.359,2300,9500,62,0
5,1.5,1690,7725,1.5,0,0,4,7,0,47.3859,-122.288,1690,7739,54,0
4,1.75,2330,8800,1.0,0,2,4,7,1070,47.6148,-122.113,2270,8800,54,0
4,2.5,2425,9017,2.0,0,0,3,9,0,47.3003,-122.263,2725,7019,2,0
5,2.5,4250,20441,1.0,0,1,4,11,1760,47.6377,-122.211,3620,16304,31,0
2,3.0,1790,1709,2.0,0,0,3,7,390,47.5926,-122.296,1460,1462,14,0
4,2.5,2930,18199,2.0,0,0,3,9,0,47.5937,-122.047,2930,33976,17,0
4,2.5,3440,6332,2.0,0,0,3,10,0,47.5347,-122.155,3310,6528,14,0
3,2.0,1590,9912,2.0,0,0,3,8,0,47.3731,-122.43,1670,9912,15,0
5,3.25,3500,10457,2.0,0,0,3,11,0,47.5198,-122.157,3500,11734,14,0
1,1.0,730,6890,1.0,0,0,4,4,0,47.467,-122.215,1790,7969,89,0
3,1.75,1730,11325,1.0,0,0,5,7,0,47.3921,-122.182,2030,17859,43,0
2,3.25,1570,2031,2.0,0,0,3,8,260,47.548,-122.375,1570,2039,9,0
3,2.5,1690,3068,2.0,0,0,3,7,0,47.6763,-122.028,1690,3260,10,0
4,2.75,3800,9606,2.0,0,0,3,9,0,47.7368,-122.208,3400,9677,7,0
3,1.75,1340,9975,1.0,0,0,4,7,0,47.7012,-122.169,1340,10050,54,0
2,1.0,800,5080,1.0,0,0,3,7,0,47.6978,-122.314,1560,5110,77,0
4,2.5,1540,1860,2.0,0,0,3,8,0,47.5521,-121.999,1210,1090,1,0
4,2.0,1720,2410,1.0,0,0,3,7,750,47.5252,-122.361,1160,1404,85,1
2,1.5,1070,877,3.0,0,0,3,8,0,47.6699,-122.393,1320,1193,10,0
3,3.25,3786,38038,1.0,1,4,3,9,1852,47.3907,-122.448,2850,33361,37,1
4,2.5,3010,9323,2.0,0,0,3,10,0,47.578,-122.053,2840,8413,23,0
3,2.5,1530,2890,2.0,0,0,3,7,0,47.5434,-122.293,1540,2890,14,0
3,1.0,1040,8122,1.0,0,0,5,7,0,47.3731,-122.312,1470,8676,44,0
3,1.0,1690,13825,1.0,0,0,3,7,480,47.4256,-122.322,1190,9450,60,0
3,1.75,1160,6134,1.0,0,0,3,7,0,47.3414,-122.218,1330,6301,17,0
2,1.0,1470,5400,1.5,0,0,3,8,0,47.6391,-122.36,1760,3573,103,0
3,2.5,1380,1389,3.0,0,0,3,8,0,47.6427,-122.327,1380,1249,7,0
3,2.75,2780,4000,2.0,0,2,5,8,820,47.6565,-122.355,1490,4800,111,0
3,2.25,2390,7875,1.0,0,1,3,10,410,47.6515,-122.278,3720,9075,67,0
4,1.75,2390,12000,1.0,0,0,3,8,920,47.7061,-122.163,2110,12000,36,0
3,2.75,3290,22649,2.0,0,0,4,8,0,47.5241,-122.193,2750,6119,22,0
2,1.0,850,2850,1.0,0,0,4,7,0,47.6875,-122.309,1450,4015,88,0
2,1.0,740,4275,1.0,0,0,5,6,0,47.688,-122.308,1900,4275,91,0
4,2.5,2440,11700,1.0,0,0,5,8,960,47.5606,-122.184,2140,10807,54,0
3,2.5,2570,5000,2.0,0,0,3,11,0,47.6295,-122.32,1570,5000,31,0
3,1.0,1010,10215,1.0,0,0,3,6,0,47.4872,-122.345,1320,10245,60,0
5,4.5,5220,67319,2.0,0,0,3,11,0,47.7666,-122.128,4190,40609,14,0
2,1.0,930,5000,1.0,0,3,3,7,0,47.5333,-122.388,1760,5228,89,1
3,1.75,2210,7920,1.0,0,0,3,7,810,47.4968,-122.237,2220,7920,49,0
3,2.5,1950,8251,2.0,0,0,3,7,0,47.343,-122.28,1540,8588,25,0
4,2.5,2980,5896,2.0,0,0,3,8,0,47.6872,-122.036,2900,5712,14,0
4,1.75,2230,7957,1.0,0,0,4,7,0,47.5859,-122.122,2230,8040,48,0
3,1.0,1160,7202,1.0,0,0,4,7,0,47.7675,-122.334,1620,8598,58,0
3,2.0,1680,8487,1.0,0,0,3,7,0,47.1959,-122.01,2080,8560,22,0
3,1.5,1680,8712,1.0,0,0,3,8,0,47.4811,-122.149,1850,8797,51,0
2,1.0,1200,9000,1.0,0,2,5,6,0,47.4039,-122.323,1660,9000,98,0
4,2.5,3100,36562,2.0,0,0,3,10,0,47.7646,-122.065,3080,39351,21,0
2,2.25,2320,9300,1.5,0,4,5,9,400,47.681,-122.273,2790,9300,78,0
3,1.75,2050,16313,1.0,0,0,2,8,0,47.5743,-122.212,3180,10264,42,0
2,1.0,900,8000,1.0,0,0,4,6,0,47.4217,-122.317,1240,8000,61,0
3,2.75,2340,8828,1.0,0,0,4,9,0,47.632,-122.289,3480,8526,61,0
3,1.75,2020,215622,2.0,0,0,4,7,0,47.4189,-122.499,1810,215622,40,0
3,1.5,1570,12196,1.0,0,0,4,7,0,47.4866,-121.786,1740,12196,43,0
5,2.5,2870,16238,2.0,0,0,4,8,0,47.6308,-122.238,2870,16238,53,0
3,2.5,1870,4657,2.0,0,0,3,8,0,47.4615,-122.214,2290,4795,15,0
3,2.5,1980,3128,2.0,0,0,3,8,90,47.5456,-122.016,2160,2240,6,0
3,1.75,1250,4120,1.0,0,0,4,7,270,47.685,-122.36,1250,4120,90,0
3,3.0,1860,2875,2.0,0,0,3,8,150,47.5511,-122.373,1350,4830,6,0
3,2.5,2340,5171,2.0,0,0,3,8,0,47.4832,-121.772,2790,5684,2,0
4,1.75,2080,7200,1.0,0,0,4,7,1030,47.3385,-122.282,1500,7350,49,0
3,1.0,1190,5280,1.0,0,0,4,7,0,47.5131,-122.383,1280,5280,58,0
3,1.75,2090,7505,1.0,0,0,3,7,0,47.7326,-122.194,1510,7416,48,0
3,2.5,2120,3600,2.0,0,0,3,9,0,47.6649,-122.082,2540,4592,10,0
3,2.75,2650,9752,1.0,0,0,3,9,0,47.768,-122.259,3030,9910,26,0
3,1.0,1600,12566,1.0,0,0,4,7,0,47.4431,-121.765,1600,10650,44,0
4,2.75,3880,15025,2.0,0,0,3,7,0,47.6777,-122.035,2620,5300,11,0
2,1.0,2320,11250,2.0,0,0,4,6,0,47.504,-122.362,1620,11250,73,0
3,1.75,1660,11500,1.0,0,0,3,7,530,47.4473,-121.774,1250,11000,36,0
3,1.0,1160,11776,1.0,0,0,3,7,0,47.7427,-122.074,1160,10050,47,0
4,3.5,3790,90169,2.0,0,0,3,11,0,47.6587,-122.022,3410,46951,17,0
3,2.0,1790,8228,1.0,0,0,3,7,400,47.4658,-122.172,1880,8228,35,0
4,1.75,1790,11875,1.0,0,0,4,7,300,47.522,-122.047,1870,11760,46,0
1,1.0,720,6000,1.0,0,0,3,6,0,47.5266,-122.316,1040,6000,75,0
3,2.5,2538,4600,2.0,0,0,3,8,0,47.2584,-122.196,2570,4800,2,0
3,2.5,1480,8381,1.0,0,0,4,7,0,47.7078,-122.288,1710,8050,47,0
2,1.5,1070,1200,2.0,0,0,3,7,0,47.697,-122.347,1070,1200,16,0
4,3.75,3180,9889,2.0,0,0,3,9,680,47.6853,-122.204,2910,8558,3,0
2,1.5,1110,986,2.0,0,0,3,7,160,47.5427,-122.272,1110,3515,6,0
3,1.0,1140,10477,1.0,0,0,3,6,0,47.4874,-122.306,1190,9750,73,0
5,3.0,2500,11779,1.0,0,0,4,8,950,47.5696,-122.127,2580,12055,44,0
5,2.5,2430,4781,2.0,0,0,3,9,0,47.4487,-122.117,2420,4770,14,0
3,1.75,1800,10200,1.0,0,0,3,8,0,47.4496,-122.146,2140,10128,48,0
3,2.0,1340,9750,1.0,0,0,4,7,450,47.5644,-121.898,1460,12900,41,0
3,2.0,1010,2820,1.5,0,0,3,7,0,47.6066,-122.304,1330,3000,110,0
3,3.0,1680,1570,3.0,0,0,3,8,0,47.6572,-122.346,1640,4800,1,0
2,1.0,1050,7500,1.5,0,3,4,6,0,47.5577,-122.399,2540,13680,105,0
1,0.5,880,1642,1.0,0,0,3,6,380,47.5732,-122.372,1410,2992,105,0
6,3.25,4250,23326,1.0,0,3,3,10,2100,47.34,-122.327,3370,15983,48,0
